# Valeurs d'achat et de service du point, régime par régime
# source_id: openfisca_points (Agirc depuis 1947, Ircantec depuis 1949)
#
# mesure :
#   salaire_reference : prix d'achat du point, en euros courants de l'année.
#                       cotisation / (taux_appel × salaire_reference) = points acquis
#   valeur_service    : rente annuelle servie par un point, euros courants
#   taux_appel        : écart entre ce qui est prélevé et ce qui ouvre des
#                       droits. 1,25 depuis 1995 : cotiser 125 € n'acquiert
#                       que 100 € de points.
#
# Règle annuelle : valeur en vigueur au 31 décembre de l'année. Le salaire
# de référence change au 1er janvier, la valeur de service au 1er avril
# autrefois et au 1er novembre aujourd'hui.
#
# fiabilite :
#   haute   : transcription OpenFisca du texte de la circulaire
#   moyenne : valeurs de l'UNIRS tenant lieu de point Arrco avant son
#             unification de 1999, ou valeur saisie depuis le texte légal
#
# Repère de contrôle : Agirc-Arrco 2025, salaire de référence 20,1877 €,
# valeur de service 1,4386 €, taux d'appel 1,27 — soit un rendement
# instantané de 5,61 %, la valeur que publie le régime.
#
# Fichier écrit par scripts/verifier_donnees.py --appliquer : ne pas
# modifier à la main.
regime,annee,mesure,valeur,fiabilite
agirc,2000,salaire_reference,4.023100,haute
agirc,2000,valeur_service,0.359566,haute
agirc,2001,salaire_reference,4.084100,haute
agirc,2001,valeur_service,0.367798,haute
agirc,2002,salaire_reference,4.149400,haute
agirc,2002,valeur_service,0.373700,haute
agirc,2003,salaire_reference,4.215800,haute
agirc,2003,valeur_service,0.379600,haute
agirc,2004,salaire_reference,4.312800,haute
agirc,2004,valeur_service,0.386200,haute
agirc,2005,salaire_reference,4.416300,haute
agirc,2005,valeur_service,0.394000,haute
agirc,2006,salaire_reference,4.544400,haute
agirc,2006,valeur_service,0.400500,haute
agirc,2007,salaire_reference,4.712500,haute
agirc,2007,valeur_service,0.407300,haute
agirc,2008,salaire_reference,4.872700,haute
agirc,2008,valeur_service,0.413200,haute
agirc,2009,salaire_reference,4.960400,haute
agirc,2009,valeur_service,0.418600,haute
agirc,2010,salaire_reference,5.024900,haute
agirc,2010,valeur_service,0.421600,haute
agirc,2011,salaire_reference,5.135400,haute
agirc,2011,valeur_service,0.423300,haute
agirc,2012,salaire_reference,5.250900,haute
agirc,2012,valeur_service,0.433000,haute
agirc,2013,salaire_reference,5.300600,haute
agirc,2013,valeur_service,0.435200,haute
agirc,2014,salaire_reference,5.307500,haute
agirc,2014,valeur_service,0.435200,haute
agirc,2015,salaire_reference,5.307500,haute
agirc,2015,valeur_service,0.435200,haute
agirc,2016,salaire_reference,5.445500,haute
agirc,2016,valeur_service,0.435200,haute
agirc,2017,salaire_reference,5.630600,haute
agirc,2017,valeur_service,0.435200,haute
agirc,2018,salaire_reference,5.816600,haute
agirc,2018,valeur_service,0.437800,haute
agirc_arrco,2019,salaire_reference,17.057100,haute
agirc_arrco,2019,taux_appel,1.270000,moyenne
agirc_arrco,2019,valeur_service,1.271400,haute
agirc_arrco,2020,salaire_reference,17.398200,haute
agirc_arrco,2020,valeur_service,1.271400,haute
agirc_arrco,2021,salaire_reference,17.398200,haute
agirc_arrco,2021,valeur_service,1.284100,haute
agirc_arrco,2022,salaire_reference,17.431600,haute
agirc_arrco,2022,valeur_service,1.349800,haute
agirc_arrco,2023,salaire_reference,18.766900,haute
agirc_arrco,2023,valeur_service,1.415900,haute
agirc_arrco,2024,salaire_reference,19.632100,haute
agirc_arrco,2024,valeur_service,1.438600,haute
agirc_arrco,2025,salaire_reference,20.187700,haute
arrco,1949,salaire_reference,0.450000,moyenne
arrco,1950,salaire_reference,0.550000,moyenne
arrco,1951,salaire_reference,0.700000,moyenne
arrco,1952,salaire_reference,0.800000,moyenne
arrco,1953,salaire_reference,0.800000,moyenne
arrco,1954,salaire_reference,0.850000,moyenne
arrco,1955,salaire_reference,0.950000,moyenne
arrco,1956,salaire_reference,1.000000,moyenne
arrco,1957,salaire_reference,1.070000,moyenne
arrco,1957,valeur_service,0.024392,moyenne
arrco,1958,salaire_reference,0.182939,moyenne
arrco,1958,valeur_service,0.025002,moyenne
arrco,1959,salaire_reference,0.193610,moyenne
arrco,1959,valeur_service,0.026831,moyenne
arrco,1960,salaire_reference,0.210380,moyenne
arrco,1960,valeur_service,0.027807,moyenne
arrco,1961,salaire_reference,0.227149,moyenne
arrco,1961,valeur_service,0.031344,moyenne
arrco,1962,salaire_reference,0.248492,moyenne
arrco,1962,taux_appel,1.000000,moyenne
arrco,1962,valeur_service,0.033295,moyenne
arrco,1963,salaire_reference,0.271359,moyenne
arrco,1963,taux_appel,1.000000,moyenne
arrco,1963,valeur_service,0.036405,moyenne
arrco,1964,salaire_reference,0.288129,moyenne
arrco,1964,taux_appel,1.000000,moyenne
arrco,1964,valeur_service,0.039759,moyenne
arrco,1965,salaire_reference,0.303374,moyenne
arrco,1965,taux_appel,1.000000,moyenne
arrco,1965,valeur_service,0.042198,moyenne
arrco,1966,salaire_reference,0.323192,moyenne
arrco,1966,taux_appel,1.000000,moyenne
arrco,1966,valeur_service,0.044454,moyenne
arrco,1967,salaire_reference,0.336912,moyenne
arrco,1967,taux_appel,1.000000,moyenne
arrco,1967,valeur_service,0.046954,moyenne
arrco,1968,salaire_reference,0.373500,moyenne
arrco,1968,taux_appel,1.000000,moyenne
arrco,1968,valeur_service,0.048784,moyenne
arrco,1969,salaire_reference,0.408563,moyenne
arrco,1969,taux_appel,1.000000,moyenne
arrco,1969,valeur_service,0.053662,moyenne
arrco,1970,salaire_reference,0.443627,moyenne
arrco,1970,taux_appel,1.000000,moyenne
arrco,1970,valeur_service,0.058540,moyenne
arrco,1971,salaire_reference,0.490886,moyenne
arrco,1971,taux_appel,1.025000,moyenne
arrco,1971,valeur_service,0.061894,moyenne
arrco,1972,salaire_reference,0.545767,moyenne
arrco,1972,taux_appel,1.050000,moyenne
arrco,1972,valeur_service,0.069517,moyenne
arrco,1973,salaire_reference,0.618943,moyenne
arrco,1973,taux_appel,1.075000,moyenne
arrco,1973,valeur_service,0.076834,moyenne
arrco,1974,salaire_reference,0.710412,moyenne
arrco,1974,taux_appel,1.100000,moyenne
arrco,1974,valeur_service,0.087811,moyenne
arrco,1975,salaire_reference,0.797308,moyenne
arrco,1975,taux_appel,1.100000,moyenne
arrco,1975,valeur_service,0.096958,moyenne
arrco,1976,salaire_reference,0.917743,moyenne
arrco,1976,taux_appel,1.100000,moyenne
arrco,1976,valeur_service,0.117081,moyenne
arrco,1977,salaire_reference,1.016835,moyenne
arrco,1977,taux_appel,1.100000,moyenne
arrco,1977,valeur_service,0.129582,moyenne
arrco,1978,salaire_reference,1.140319,moyenne
arrco,1978,taux_appel,1.100000,moyenne
arrco,1978,valeur_service,0.142692,moyenne
arrco,1979,salaire_reference,1.282096,moyenne
arrco,1979,taux_appel,1.100000,moyenne
arrco,1979,valeur_service,0.159462,moyenne
arrco,1980,salaire_reference,1.466560,moyenne
arrco,1980,taux_appel,1.100000,moyenne
arrco,1980,valeur_service,0.185988,moyenne
arrco,1981,salaire_reference,1.651023,moyenne
arrco,1981,taux_appel,1.100000,moyenne
arrco,1981,valeur_service,0.211599,moyenne
arrco,1982,salaire_reference,1.864451,moyenne
arrco,1982,taux_appel,1.100000,moyenne
arrco,1982,valeur_service,0.239040,moyenne
arrco,1983,salaire_reference,2.051964,moyenne
arrco,1983,taux_appel,1.150000,moyenne
arrco,1983,valeur_service,0.253065,moyenne
arrco,1984,salaire_reference,2.189168,moyenne
arrco,1984,taux_appel,1.150000,moyenne
arrco,1984,valeur_service,0.272579,moyenne
arrco,1985,salaire_reference,2.353813,moyenne
arrco,1985,taux_appel,1.150000,moyenne
arrco,1985,valeur_service,0.286604,moyenne
arrco,1986,salaire_reference,2.465101,moyenne
arrco,1986,taux_appel,1.150000,moyenne
arrco,1986,valeur_service,0.296971,moyenne
arrco,1987,salaire_reference,2.570290,moyenne
arrco,1987,taux_appel,1.175000,moyenne
arrco,1987,valeur_service,0.314045,moyenne
arrco,1988,salaire_reference,2.680054,moyenne
arrco,1988,taux_appel,1.200000,moyenne
arrco,1988,valeur_service,0.317246,moyenne
arrco,1989,salaire_reference,2.806586,moyenne
arrco,1989,taux_appel,1.200000,moyenne
arrco,1989,valeur_service,0.323802,moyenne
arrco,1990,salaire_reference,2.943791,moyenne
arrco,1990,taux_appel,1.200000,moyenne
arrco,1990,valeur_service,0.341181,moyenne
arrco,1991,salaire_reference,3.074897,moyenne
arrco,1991,taux_appel,1.230000,moyenne
arrco,1991,valeur_service,0.350633,moyenne
arrco,1992,salaire_reference,3.196094,moyenne
arrco,1992,taux_appel,1.250000,moyenne
arrco,1992,valeur_service,0.363896,moyenne
arrco,1993,salaire_reference,3.304790,moyenne
arrco,1993,valeur_service,0.369780,moyenne
arrco,1994,salaire_reference,3.357690,moyenne
arrco,1994,valeur_service,0.369780,moyenne
arrco,1995,salaire_reference,3.414858,moyenne
arrco,1995,valeur_service,0.374232,moyenne
arrco,1996,salaire_reference,3.609535,moyenne
arrco,1996,valeur_service,0.379842,moyenne
arrco,1997,salaire_reference,3.815342,moyenne
arrco,1997,valeur_service,0.382876,moyenne
arrco,1998,salaire_reference,4.029075,moyenne
arrco,1998,valeur_service,0.387464,moyenne
arrco,1999,salaire_reference,10.954000,haute
arrco,1999,valeur_service,1.009000,haute
arrco,2000,salaire_reference,11.534500,haute
arrco,2000,valeur_service,1.017100,haute
arrco,2001,salaire_reference,11.707600,haute
arrco,2001,valeur_service,1.036400,haute
arrco,2002,salaire_reference,11.894900,haute
arrco,2002,valeur_service,1.053000,haute
arrco,2003,salaire_reference,12.085200,haute
arrco,2003,valeur_service,1.069800,haute
arrco,2004,salaire_reference,12.363200,haute
arrco,2004,valeur_service,1.088600,haute
arrco,2005,salaire_reference,12.660000,haute
arrco,2005,valeur_service,1.110400,haute
arrco,2006,salaire_reference,13.027100,haute
arrco,2006,valeur_service,1.128700,haute
arrco,2007,salaire_reference,13.509100,haute
arrco,2007,valeur_service,1.148000,haute
arrco,2008,salaire_reference,13.968400,haute
arrco,2008,valeur_service,1.164800,haute
arrco,2009,salaire_reference,14.219800,haute
arrco,2009,valeur_service,1.179900,haute
arrco,2010,salaire_reference,14.404700,haute
arrco,2010,valeur_service,1.188400,haute
arrco,2011,salaire_reference,14.721600,haute
arrco,2011,valeur_service,1.213500,haute
arrco,2012,salaire_reference,15.052800,haute
arrco,2012,valeur_service,1.241400,haute
arrco,2013,salaire_reference,15.228400,haute
arrco,2013,valeur_service,1.251300,haute
arrco,2014,salaire_reference,15.258900,haute
arrco,2014,valeur_service,1.251300,haute
arrco,2015,salaire_reference,15.258900,haute
arrco,2015,valeur_service,1.251300,haute
arrco,2016,salaire_reference,15.655600,haute
arrco,2016,valeur_service,1.251300,haute
arrco,2017,salaire_reference,16.187900,haute
arrco,2017,valeur_service,1.251300,haute
arrco,2018,salaire_reference,16.722600,haute
arrco,2018,valeur_service,1.258800,haute
cnbf_complementaire,2017,salaire_reference,9.243500,certifiee
cnbf_complementaire,2017,valeur_service,0.935800,certifiee
cnbf_complementaire,2018,salaire_reference,9.511500,certifiee
cnbf_complementaire,2018,valeur_service,0.940400,certifiee
cnbf_complementaire,2019,salaire_reference,9.787300,certifiee
cnbf_complementaire,2019,valeur_service,0.945100,certifiee
cnbf_complementaire,2020,salaire_reference,10.051600,certifiee
cnbf_complementaire,2020,valeur_service,0.948000,certifiee
cnbf_complementaire,2021,salaire_reference,10.343100,certifiee
cnbf_complementaire,2021,valeur_service,0.952700,certifiee
cnbf_complementaire,2022,salaire_reference,10.694800,certifiee
cnbf_complementaire,2022,valeur_service,0.962200,certifiee
cnbf_complementaire,2023,salaire_reference,11.165400,certifiee
cnbf_complementaire,2023,valeur_service,0.981500,certifiee
cnbf_complementaire,2025,salaire_reference,12.052900,certifiee
cnbf_complementaire,2025,valeur_service,1.011100,certifiee
cnbf_complementaire,2026,salaire_reference,12.522900,certifiee
cnbf_complementaire,2026,valeur_service,1.026200,certifiee
igrante,1947,salaire_reference,0.040000,haute
igrante,1948,salaire_reference,0.560000,haute
igrante,1949,salaire_reference,0.064000,haute
igrante,1949,valeur_service,0.009150,haute
igrante,1950,salaire_reference,0.079000,haute
igrante,1950,valeur_service,0.012200,haute
igrante,1951,salaire_reference,0.096000,haute
igrante,1951,valeur_service,0.016770,haute
igrante,1952,salaire_reference,0.096000,haute
igrante,1952,valeur_service,0.019060,haute
igrante,1953,salaire_reference,0.096000,haute
igrante,1953,valeur_service,0.019060,haute
igrante,1954,salaire_reference,0.099000,haute
igrante,1954,valeur_service,0.019060,haute
igrante,1955,salaire_reference,0.113000,haute
igrante,1955,valeur_service,0.019820,haute
igrante,1956,salaire_reference,0.122000,haute
igrante,1956,valeur_service,0.021340,haute
igrante,1957,salaire_reference,0.148000,haute
igrante,1957,valeur_service,0.022870,haute
igrante,1958,salaire_reference,0.177000,haute
igrante,1958,valeur_service,0.027440,haute
igrante,1959,salaire_reference,0.191000,haute
igrante,1959,valeur_service,0.030490,haute
igrante,1960,salaire_reference,0.197000,haute
igrante,1960,valeur_service,0.033540,haute
igrante,1961,salaire_reference,0.207000,haute
igrante,1961,valeur_service,0.033540,haute
