# Dépenses du risque vieillesse-survie, ventilées par système, France
# source_id: drees_comptes_protection_sociale
# unite: millions d'euros courants de l'année
# fiabilite:
#   certifiee (1990-2024) : prestations du poste E11-2 par organisme,
#             regroupées selon REGIMES_CPS dans
#             scripts/verifier_donnees.py, qui les recontrôle contre
#             l'API de la DREES et vérifie que leur somme rend le total.
#
# POURQUOI LA VENTILATION NE COMMENCE QU'EN 1990
# -----------------------------------------------
# La DREES ventile bien le risque depuis 1981, mais dans une nomenclature
# différente — « Régime général de la Sécurité sociale », « Régimes
# spéciaux », « Régimes de l'État et des entreprises publiques » — dont
# les périmètres ne se recoupent pas avec ceux de 1990 : les
# complémentaires n'y sont pas encore séparées de l'Agirc et de l'Arrco.
# Personne n'a publié le raccord. Ces neuf années sont une impasse, et
# le total, lui, les couvre depuis 1959.
#
# LE DÉCOUPAGE EST CELUI DE LA COMPTABILITÉ NATIONALE
# ----------------------------------------------------
# La DREES ventile par SECTEUR INSTITUTIONNEL et non par caisse. Deux
# conséquences qu'il faut connaître pour lire ces chiffres :
#   * « regimes_speciaux » réunit la CNRACL, la SNCF, la RATP, les IEG et
#     les autres — la fonction publique territoriale et hospitalière y est
#     donc, et non avec l'État ;
#   * « regime_general » absorbe, à compter de 2020, les artisans et les
#     commerçants, dont le régime a été adossé à la Cnav.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,regime,depenses_meur,fiabilite
2009,supplementaire,10746.5,certifiee
2010,agirc_arrco,65929.0,certifiee
2010,aide_sociale_locale,7810.1,certifiee
2010,exploitants_agricoles,9372.8,certifiee
2010,fonction_publique_etat,45599.8,certifiee
2010,ircantec,2040.2,certifiee
2010,non_salaries_autres,8513.4,certifiee
2010,professions_liberales,3940.5,certifiee
2010,regime_general,95431.4,certifiee
2010,regimes_speciaux,24383.4,certifiee
2010,repartition_autres,1511.0,certifiee
2010,salaries_agricoles,5279.6,certifiee
2010,solidarite_etat,1524.2,certifiee
2010,supplementaire,10804.0,certifiee
2011,agirc_arrco,68230.0,certifiee
2011,aide_sociale_locale,7972.1,certifiee
2011,exploitants_agricoles,9423.3,certifiee
2011,fonction_publique_etat,47677.4,certifiee
2011,ircantec,2180.8,certifiee
2011,non_salaries_autres,8787.7,certifiee
2011,professions_liberales,4196.6,certifiee
2011,regime_general,99923.6,certifiee
2011,regimes_speciaux,25561.8,certifiee
2011,repartition_autres,1565.2,certifiee
2011,salaries_agricoles,5304.8,certifiee
2011,solidarite_etat,1467.8,certifiee
2011,supplementaire,10898.1,certifiee
2012,agirc_arrco,70724.0,certifiee
2012,aide_sociale_locale,8211.4,certifiee
2012,exploitants_agricoles,9390.6,certifiee
2012,fonction_publique_etat,49494.7,certifiee
2012,ircantec,2192.0,certifiee
2012,non_salaries_autres,9065.0,certifiee
2012,professions_liberales,4520.7,certifiee
2012,regime_general,103526.9,certifiee
2012,regimes_speciaux,26712.8,certifiee
2012,repartition_autres,1601.8,certifiee
2012,salaries_agricoles,5295.1,certifiee
2012,solidarite_etat,1432.6,certifiee
2012,supplementaire,10961.5,certifiee
2013,agirc_arrco,72840.0,certifiee
2013,aide_sociale_locale,8276.1,certifiee
2013,exploitants_agricoles,9333.0,certifiee
2013,fonction_publique_etat,50821.7,certifiee
2013,ircantec,2317.0,certifiee
2013,non_salaries_autres,9284.7,certifiee
2013,professions_liberales,4852.8,certifiee
2013,regime_general,107430.4,certifiee
2013,regimes_speciaux,27495.8,certifiee
2013,repartition_autres,1603.1,certifiee
2013,salaries_agricoles,5245.9,certifiee
2013,solidarite_etat,1396.0,certifiee
2013,supplementaire,11821.5,certifiee
2014,agirc_arrco,74301.0,certifiee
2014,aide_sociale_locale,8408.4,certifiee
2014,exploitants_agricoles,9324.5,certifiee
2014,fonction_publique_etat,51637.4,certifiee
2014,ircantec,2479.0,certifiee
2014,non_salaries_autres,9443.4,certifiee
2014,professions_liberales,5128.7,certifiee
2014,regime_general,110178.2,certifiee
2014,regimes_speciaux,28063.9,certifiee
2014,repartition_autres,1600.4,certifiee
2014,salaries_agricoles,5158.1,certifiee
2014,solidarite_etat,1333.5,certifiee
2014,supplementaire,11940.7,certifiee
2015,agirc_arrco,75584.0,certifiee
2015,aide_sociale_locale,8458.9,certifiee
2015,exploitants_agricoles,9243.0,certifiee
2015,fonction_publique_etat,52196.8,certifiee
2015,ircantec,2727.0,certifiee
2015,non_salaries_autres,9721.8,certifiee
2015,professions_liberales,5380.8,certifiee
2015,regime_general,112513.5,certifiee
2015,regimes_speciaux,28588.9,certifiee
2015,repartition_autres,1558.6,certifiee
2015,salaries_agricoles,5070.2,certifiee
2015,solidarite_etat,1275.5,certifiee
2015,supplementaire,12247.0,certifiee
2016,agirc_arrco,76857.0,certifiee
2016,aide_sociale_locale,8617.9,certifiee
2016,exploitants_agricoles,9121.1,certifiee
2016,fonction_publique_etat,52776.7,certifiee
2016,ircantec,2840.0,certifiee
2016,non_salaries_autres,9825.3,certifiee
2016,professions_liberales,5629.4,certifiee
2016,regime_general,114970.6,certifiee
2016,regimes_speciaux,29150.0,certifiee
2016,repartition_autres,1528.9,certifiee
2016,salaries_agricoles,4971.2,certifiee
2016,solidarite_etat,1215.2,certifiee
2016,supplementaire,12889.1,certifiee
2017,agirc_arrco,78049.0,certifiee
2017,aide_sociale_locale,8841.1,certifiee
2017,exploitants_agricoles,9157.2,certifiee
